state	OR	ORplusSister
61850000	1995.700826	1869.446575
61900000	1994.955328	1873.405928
61950000	1991.318947	1838.427639
62000000	1986.176805	1845.241449
62050000	1984.596435	1830.684373
62100000	1976.115575	1773.550723
62150000	1979.381966	1783.124772
62200000	1985.409697	1799.694279
62250000	1982.822335	1835.892675
62300000	1989.451849	1831.682719
62350000	1981.631726	1839.552981
62400000	1985.386616	1827.079549
62450000	1977.538288	1851.788789
62500000	1973.878441	1847.266294
62550000	1972.460046	1853.470071
62600000	1978.087425	1858.795700
62650000	1985.767276	1886.034570
62700000	1980.826760	1883.532261
62750000	1979.904864	1853.893411
62800000	1983.807770	1867.147238
62850000	1981.293242	1859.938714
62900000	1981.199970	1872.088733
62950000	1990.871137	1888.326747
63000000	1977.033539	1844.473235
63050000	1977.898653	1843.829633
63100000	1983.510048	1860.198460
63150000	1982.381457	1826.465012
63200000	1984.384941	1841.253302
63250000	1983.806631	1867.759196
63300000	1983.964588	1871.087297
63350000	1981.541475	1851.919799
63400000	1980.720879	1795.312453
63450000	1971.419826	1842.422526
63500000	1977.816594	1842.543809
63550000	1990.193559	1836.974438
63600000	1987.449444	1850.988678
63650000	1987.473935	1847.642842
63700000	1990.166238	1817.842243
63750000	1994.010512	1829.558872
63800000	1990.634227	1826.820220
63850000	1993.400016	1857.174865
63900000	1990.765537	1857.122867
63950000	1988.771597	1835.155734
64000000	1990.608979	1829.630715
64050000	1990.736533	1824.345143
64100000	1986.458145	1830.327810
64150000	1978.967563	1778.222911
64200000	1968.644647	1741.518431
64250000	1970.086586	1771.634665
64300000	1977.593430	1825.249740
64350000	1974.239833	1840.073552
64400000	1974.616315	1830.179049
64450000	1973.227039	1780.270549
64500000	1978.394849	1808.369678
64550000	1990.216205	1806.133335
64600000	1988.507695	1814.399555
64650000	1976.356665	1754.916233
64700000	1987.207179	1789.887982
64750000	1984.004526	1817.875638
64800000	1988.722534	1772.497274
64850000	1990.814024	1830.171170
64900000	1991.084142	1847.312055
64950000	1984.776395	1833.693651
65000000	1980.527761	1831.743557
65050000	1983.504794	1842.643251
65100000	1986.678013	1825.373756
65150000	1983.699372	1871.633635
65200000	1983.377986	1851.334289
65250000	1977.813419	1822.029139
65300000	1978.175039	1844.693961
65350000	1974.029684	1808.941616
65400000	1976.030807	1766.181463
65450000	1974.071865	1734.754197
65500000	1967.262311	1778.057795
65550000	1979.894296	1831.614294
65600000	1977.515795	1810.449077
65650000	1983.348463	1853.520021
65700000	1989.792309	1835.287489
65750000	1994.516566	1847.558950
65800000	1994.972627	1869.065019
65850000	1993.092272	1873.768582
65900000	1989.823475	1838.038622
65950000	1990.857510	1859.009690
66000000	1990.990173	1874.330853
66050000	1995.027268	1877.857382
66100000	1992.762042	1857.512392
66150000	1991.427601	1859.180149
66200000	1993.551438	1872.134057
66250000	1991.292179	1851.343075
66300000	1991.276174	1869.336033
66350000	1987.093768	1831.750186
66400000	1983.110693	1843.791119
66450000	1993.260413	1869.938949
66500000	1990.510597	1881.983459
66550000	1991.788718	1891.083955
66600000	1994.068064	1893.060311
66650000	1992.019018	1880.044599
66700000	1993.082240	1882.467982
66750000	1990.117288	1846.669719
66800000	1984.720484	1851.117181
66850000	1985.386158	1848.882365
66900000	1989.899064	1854.121967
66950000	1984.431151	1849.365389
67000000	1989.028810	1876.134990
67050000	1982.116579	1818.299302
67100000	1983.035322	1821.112526
67150000	1984.889550	1859.278476
67200000	1987.362833	1869.699907
67250000	1991.640830	1859.164368
67300000	1987.277767	1854.516264
67350000	1985.017354	1838.441624
67400000	1975.683894	1829.005783
67450000	1979.212349	1837.811745
67500000	1977.406307	1821.757504
67550000	1977.286831	1803.606731
67600000	1986.768350	1822.130372
67650000	1984.538877	1811.658835
67700000	1989.520883	1844.636096
67750000	1987.444710	1812.365810
67800000	1988.328150	1832.752816
67850000	1986.193492	1857.387717
67900000	1987.591412	1838.873407
67950000	1987.409140	1842.535371
