state	LIBR16393-IndivA_XXXX_XXX_2015-11-19
30040000	3.74
30050000	2.96
30060000	7.03
30070000	5.57
30080000	1.69
30090000	4.84
30100000	4.77
30110000	2.39
30120000	1.99
30130000	5.44
30140000	2.07
30150000	10.53
30160000	2.89
30170000	9.02
30180000	6.29
30190000	2.55
30200000	16.96
30210000	9.55
30220000	6.85
30230000	2.96
30240000	13.60
30250000	3.77
30260000	1.60
30270000	4.04
30280000	4.13
30290000	6.57
30300000	5.64
30310000	1.99
30320000	2.72
30330000	3.87
30340000	2.48
30350000	7.18
30360000	5.32
30370000	5.48
30380000	9.14
30390000	2.44
30400000	3.78
30410000	4.56
30420000	3.37
30430000	18.24
30440000	4.07
30450000	4.72
30460000	2.68
30470000	2.84
30480000	2.65
30490000	2.20
30500000	1.54
30510000	10.20
30520000	2.81
30530000	8.81
30540000	6.74
30550000	2.58
30560000	2.99
30570000	9.75
30580000	4.85
30590000	2.07
30600000	6.79
30610000	3.94
30620000	1.48
30630000	4.75
30640000	4.14
30650000	1.82
30660000	1.97
30670000	12.19
30680000	5.86
30690000	2.58
30700000	3.99
30710000	8.31
30720000	5.61
30730000	3.98
30740000	2.81
30750000	18.04
30760000	4.39
30770000	2.14
30780000	2.85
30790000	2.04
30800000	1.73
30810000	5.50
30820000	2.91
30830000	4.32
30840000	8.10
30850000	9.39
30860000	8.78
30870000	2.71
30880000	11.67
30890000	2.56
30900000	3.49
30910000	1.86
30920000	3.96
30930000	2.82
30940000	2.96
30950000	4.82
30960000	10.86
30970000	3.55
30980000	4.52
30990000	6.87
31000000	3.13
31010000	19.17
31020000	2.62
31030000	15.67
31040000	5.10
31050000	22.92
31060000	4.80
31070000	6.45
31080000	4.65
31090000	14.31
31100000	7.53
31110000	6.40
31120000	10.25
31130000	3.42
31140000	4.88
31150000	2.29
31160000	1.87
31170000	2.08
31180000	1.81
31190000	3.44
31200000	13.33
31210000	11.52
31220000	4.91
31230000	3.31
31240000	5.08
31250000	2.21
31260000	3.50
31270000	2.01
31280000	1.51
31290000	6.74
31300000	2.18
31310000	6.66
31320000	19.62
31330000	11.75
31340000	6.31
31350000	5.73
31360000	8.65
31370000	3.10
31380000	3.42
31390000	43.15
31400000	14.02
31410000	11.59
31420000	26.14
31430000	6.36
31440000	7.95
31450000	9.33
31460000	5.84
31470000	7.43
31480000	7.94
31490000	6.52
31500000	3.71
31510000	2.09
31520000	11.18
31530000	6.65
31540000	3.29
31550000	1.66
31560000	5.12
31570000	12.38
31580000	3.35
31590000	9.68
31600000	3.63
31610000	2.01
31620000	6.91
31630000	3.80
31640000	5.10
31650000	1.58
31660000	7.87
